ID,SMILES_chiral,SMILES_no_chiral,NPL_score
REAL_subset_1,Fc1ccc2c(c1)CN(CCc1cc(Cl)ccn1)C2,Fc1ccc2c(c1)CN(CCc1cc(Cl)ccn1)C2,-1.862
REAL_subset_2,CC(C(=O)NC(C(C)(C)C)C(C)(C)C)C(C)S(C)(=O)=O,CC(C(=O)NC(C(C)(C)C)C(C)(C)C)C(C)S(C)(=O)=O,-0.272
REAL_subset_3,CC(C)N(C)C(=O)C(N)C(O)C(C)(C)C,CC(C)N(C)C(=O)C(N)C(O)C(C)(C)C,0.049
REAL_subset_4,CC(C)NC(=O)C(C)NC(=O)N(C)C(C)(C)C,CC(C)NC(=O)C(C)NC(=O)N(C)C(C)(C)C,-0.962
REAL_subset_5,Clc1ncsc1CN(CCc1nn[nH]n1)CC1CCCCC1,Clc1ncsc1CN(CCc1nn[nH]n1)CC1CCCCC1,-1.801
REAL_subset_6,Clc1cc2cc(CN3CCOCC(n4cccn4)C3)[nH]c2cc1Cl,Clc1cc2cc(CN3CCOCC(n4cccn4)C3)[nH]c2cc1Cl,-1.801
REAL_subset_7,Clc1ccc2c(N3CCOCC3c3cc[nH]n3)nncc2c1,Clc1ccc2c(N3CCOCC3c3cc[nH]n3)nncc2c1,-1.485
REAL_subset_8,Clc1cccc(-c2cc(CN3CCOC(c4ccoc4)C3)no2)c1,Clc1cccc(-c2cc(CN3CCOC(c4ccoc4)C3)no2)c1,-1.46
REAL_subset_9,Clc1cccc(SC2CCN(Cc3ccc4c(n3)OCCO4)C2)c1,Clc1cccc(SC2CCN(Cc3ccc4c(n3)OCCO4)C2)c1,-1.484
REAL_subset_10,Clc1cccc2nc(N3CCOCC(n4cccn4)C3)cnc12,Clc1cccc2nc(N3CCOCC(n4cccn4)C3)cnc12,-1.979
REAL_subset_11,CCC1CCc2ccccc2N1S(=O)(=O)c1[nH]ncc1Br,CCC1CCc2ccccc2N1S(=O)(=O)c1[nH]ncc1Br,-1.251
REAL_subset_12,COCCC(C)NCC(C)CC(C)C,COCCC(C)NCC(C)CC(C)C,0.227
REAL_subset_13,Clc1cc(Sc2ncc3n2CCC3)nc(C2CCCO2)n1,Clc1cc(Sc2ncc3n2CCC3)nc(C2CCCO2)n1,-1.22
REAL_subset_14,Clc1ccc(C2CN=C(N3CCOC4(CCSC4)CC3)N2)cc1,Clc1ccc(C2CN=C(N3CCOC4(CCSC4)CC3)N2)cc1,-0.441
REAL_subset_15,FC(F)(F)c1ncc(Cl)c(N2CCCC2c2nc(C3CC3)no2)n1,FC(F)(F)c1ncc(Cl)c(N2CCCC2c2nc(C3CC3)no2)n1,-1.717
REAL_subset_16,Fc1cc(-c2noc(C3(c4ccno4)CCOCC3)n2)ccc1C(F)(F)F,Fc1cc(-c2noc(C3(c4ccno4)CCOCC3)n2)ccc1C(F)(F)F,-1.319
REAL_subset_17,Fc1cc2c(cc1F)NCCN(c1nnc(SC(F)(F)F)s1)C2,Fc1cc2c(cc1F)NCCN(c1nnc(SC(F)(F)F)s1)C2,-1.852
REAL_subset_18,Fc1ccc(C(F)(F)F)c(-c2noc(-c3c[nH]nc3C3CNC3)n2)c1,Fc1ccc(C(F)(F)F)c(-c2noc(-c3c[nH]nc3C3CNC3)n2)c1,-1.667
REAL_subset_19,Fc1ccc(Cl)c(C2CCCN2c2nccn3cncc23)c1,Fc1ccc(Cl)c(C2CCCN2c2nccn3cncc23)c1,-1.486
REAL_subset_20,Fc1cccc2c1CC(c1nc(C3CNCCO3)no1)O2,Fc1cccc2c1CC(c1nc(C3CNCCO3)no1)O2,-0.763
REAL_subset_21,N#Cc1ccc(CNC(=O)Nc2cc(F)c(C#N)c(Br)c2)s1,N#Cc1ccc(CNC(=O)Nc2cc(F)c(C#N)c(Br)c2)s1,-2.197
REAL_subset_22,CO[C@@H]1CC(N2CCC(OC3CCN(C)CC3)C2)C[C@H]1OC,COC1CC(N2CCC(OC3CCN(C)CC3)C2)CC1OC,0.286
REAL_subset_23,CO[C@@H]1CC(N2CCCC(OC(C)C)C2)C[C@H]1OC,COC1CC(N2CCCC(OC(C)C)C2)CC1OC,0.496
REAL_subset_24,CO[C@@H]1CCN(C2CC(OC(C)C)C2)[C@@H]1C,COC1CCN(C2CC(OC(C)C)C2)C1C,1.484
REAL_subset_25,Clc1cc(CNCc2ccco2)sc1Cl,Clc1cc(CNCc2ccco2)sc1Cl,-1.774
REAL_subset_26,Clc1cccc(N=c2cc(-c3ncccn3)[nH]cn2)c1,Clc1cccc(N=c2cc(-c3ncccn3)[nH]cn2)c1,-1.303
REAL_subset_27,Clc1c[nH]c(=NCC=CBr)s1,Clc1c[nH]c(=NCC=CBr)s1,-0.426
REAL_subset_28,Clc1nc(=NCCc2ccc3ncsc3c2)c2[nH]ccc2[nH]1,Clc1nc(=NCCc2ccc3ncsc3c2)c2[nH]ccc2[nH]1,-0.845
REAL_subset_29,Clc1nsc2c(-c3cncnc3)cccc12,Clc1nsc2c(-c3cncnc3)cccc12,-1.341
REAL_subset_30,FC(CN=c1cc[nH]c(Br)n1)C(F)(F)F,FC(CN=c1cc[nH]c(Br)n1)C(F)(F)F,-0.642
REAL_subset_31,Cc1cccc(C(CNC(=O)c2ccc(C)c(C)n2)NC(=O)C2=CCCS2)c1,Cc1cccc(C(CNC(=O)c2ccc(C)c(C)n2)NC(=O)C2=CCCS2)c1,-0.906
REAL_subset_32,C1CCC(OCCN2CCOC(C3CCOCC3)C2)OC1,C1CCC(OCCN2CCOC(C3CCOCC3)C2)OC1,-0.19
REAL_subset_33,c1cc(-c2cnc3nsnc3c2)c2cnsc2c1,c1cc(-c2cnc3nsnc3c2)c2cnsc2c1,-1.334
REAL_subset_34,c1cc(-c2cc3ncccc3s2)c2snnc2c1,c1cc(-c2cc3ncccc3s2)c2snnc2c1,-1.802
REAL_subset_35,c1cnc2cc(-c3ccc(-c4cscn4)nc3)cnc2c1,c1cnc2cc(-c3ccc(-c4cscn4)nc3)cnc2c1,-1.546
REAL_subset_36,c1cnc2cc(-c3cccc4[nH]cnc34)cnc2c1,c1cnc2cc(-c3cccc4[nH]cnc34)cnc2c1,-1.014
REAL_subset_37,c1cc2cc(-c3cnc4nsnc4c3)sc2cn1,c1cc2cc(-c3cnc4nsnc4c3)sc2cn1,-1.49
REAL_subset_38,C=Cc1ccccc1NC(=O)NC(C)C(O)C(C)C,C=Cc1ccccc1NC(=O)NC(C)C(O)C(C)C,-0.427
REAL_subset_39,C=Cc1csc(=NC(=O)c2cnsc2C)[nH]1,C=Cc1csc(=NC(=O)c2cnsc2C)[nH]1,-1.488
REAL_subset_40,CC(=Cc1cc(C)n[nH]c1=O)c1ccccc1Cl,CC(=Cc1cc(C)n[nH]c1=O)c1ccccc1Cl,-1.29
REAL_subset_41,Cc1coc(C(=O)N2C3CCCC2CN(C(=O)c2cncc(C)c2C)C3)c1,Cc1coc(C(=O)N2C3CCCC2CN(C(=O)c2cncc(C)c2C)C3)c1,-0.513
REAL_subset_42,Cc1[nH]c2cccc(Br)c2c1CCN=c1cc[nH]c(C#N)n1,Cc1[nH]c2cccc(Br)c2c1CCN=c1cc[nH]c(C#N)n1,-0.655
